setting,axis,topic,trust_alpha,trust_beta,trust_div_rho,trust_div_mode,n_queries,avg_s_trust_at_k,high_trust_ratio,community_coverage,community_entropy,avg_query_relevance
ab_0.6_0.4,alpha_beta,gun_control,0.6,0.4,0.8,community,30,0.78456,0.72,8.1,2.845701356751969,0.4294796060522397
ab_0.6_0.4,alpha_beta,immigration,0.6,0.4,0.8,community,30,0.761062666666667,0.8733333333333333,9.666666666666666,3.2381967099581517,0.3944984511534374
ab_0.6_0.4,alpha_beta,voting_rights_and_voter_fraud,0.6,0.4,0.8,community,30,0.7640109999999999,0.7166666666666666,9.166666666666666,3.1451962615251836,0.40979633967081697
ab_0.7_0.3,alpha_beta,abortion,0.7,0.3,0.8,community,30,0.8090240000000002,0.8766666666666666,7.8,2.807582219808035,0.4481684816877047
ab_0.7_0.3,alpha_beta,climate_change,0.7,0.3,0.8,community,30,0.7645133333333334,0.6466666666666667,6.233333333333333,2.2778614737653613,0.37425967400272697
ab_0.7_0.3,alpha_beta,economy_jobs,0.7,0.3,0.8,community,30,0.7604906666666665,0.6000000000000001,6.966666666666667,2.4461300436216513,0.36488229662179944
ab_0.7_0.3,alpha_beta,free_speech,0.7,0.3,0.8,community,30,0.7689776666666667,0.69,7.433333333333334,2.724819148397,0.40037409688035647
ab_0.7_0.3,alpha_beta,gun_control,0.7,0.3,0.8,community,30,0.7709463333333333,0.6366666666666665,7.3,2.616884013704988,0.44233941018581385
ab_0.7_0.3,alpha_beta,immigration,0.7,0.3,0.8,community,30,0.7544396666666668,0.7766666666666666,8.966666666666667,3.068541386784018,0.4031844663619995
ab_0.7_0.3,alpha_beta,voting_rights_and_voter_fraud,0.7,0.3,0.8,community,30,0.7462799999999999,0.5833333333333333,8.1,2.9084644281630023,0.42664999554554617
ab_0.8_0.2,alpha_beta,abortion,0.8,0.2,0.8,community,30,0.7958390000000001,0.8033333333333333,6.3,2.3298936086801505,0.45981519738833115
ab_0.8_0.2,alpha_beta,climate_change,0.8,0.2,0.8,community,30,0.7564136666666667,0.58,5.066666666666666,1.893991159166839,0.38298291762669884
ab_0.8_0.2,alpha_beta,economy_jobs,0.8,0.2,0.8,community,30,0.7513586666666667,0.5233333333333333,6.1,2.16280850221382,0.3718099629878998
ab_0.8_0.2,alpha_beta,free_speech,0.8,0.2,0.8,community,30,0.7562226666666665,0.6,5.966666666666667,2.3329895649915513,0.41178364038467397
ab_0.8_0.2,alpha_beta,gun_control,0.8,0.2,0.8,community,30,0.7581146666666666,0.5800000000000001,6.366666666666666,2.374700606931476,0.4508112965027491
ab_0.8_0.2,alpha_beta,immigration,0.8,0.2,0.8,community,30,0.7457150000000001,0.6766666666666666,7.666666666666667,2.7566348447575537,0.41227613161007554
ab_0.8_0.2,alpha_beta,voting_rights_and_voter_fraud,0.8,0.2,0.8,community,30,0.7248213333333334,0.42666666666666675,6.833333333333333,2.5871190015166428,0.439747789800167
ab_0.9_0.1,alpha_beta,abortion,0.9,0.1,0.8,community,30,0.7805146666666665,0.7233333333333333,5.1,1.9695934541729823,0.46551878074804937
ab_0.9_0.1,alpha_beta,climate_change,0.9,0.1,0.8,community,30,0.7490213333333332,0.5399999999999998,4.1,1.5949600229489282,0.386799172659715
ab_0.9_0.1,alpha_beta,economy_jobs,0.9,0.1,0.8,community,30,0.7415850000000002,0.4733333333333333,5.4,1.9650102020717228,0.3752057658632596
ab_0.9_0.1,alpha_beta,free_speech,0.9,0.1,0.8,community,30,0.7444049999999999,0.49333333333333335,4.966666666666667,2.073161775317971,0.41636401971181236
ab_0.9_0.1,alpha_beta,gun_control,0.9,0.1,0.8,community,30,0.7422166666666666,0.5,5.233333333333333,2.0282600756251528,0.4561760089794796
ab_0.9_0.1,alpha_beta,immigration,0.9,0.1,0.8,community,30,0.7359690000000001,0.5700000000000001,6.366666666666666,2.4063859699010037,0.4172929404179255
ab_0.9_0.1,alpha_beta,voting_rights_and_voter_fraud,0.9,0.1,0.8,community,30,0.7102593333333332,0.31,5.5,2.219323346757852,0.44541737268368403
progressive_rho_0.8,div_mode,abortion,0.7,0.3,0.8,progressive,30,0.8066770000000002,0.88,8.466666666666667,3.0102288448729397,0.44336689035097765
progressive_rho_0.8,div_mode,climate_change,0.7,0.3,0.8,progressive,30,0.7645286666666667,0.6266666666666668,7.533333333333333,2.7742488864747012,0.3597484867771467
progressive_rho_0.8,div_mode,economy_jobs,0.7,0.3,0.8,progressive,30,0.7453803333333333,0.5266666666666666,8.266666666666667,2.9389485849220915,0.35775158658623696
progressive_rho_0.8,div_mode,free_speech,0.7,0.3,0.8,progressive,30,0.7683723333333335,0.6866666666666664,7.966666666666667,2.9060784698801507,0.3957662493487199
progressive_rho_0.8,div_mode,gun_control,0.7,0.3,0.8,progressive,30,0.7636363333333336,0.5966666666666666,8.433333333333334,3.0010458865323946,0.434799896577994
progressive_rho_0.8,div_mode,immigration,0.7,0.3,0.8,progressive,30,0.7547600000000002,0.7899999999999999,9.233333333333333,3.166078469880151,0.40065226455529523
progressive_rho_0.8,div_mode,voting_rights_and_voter_fraud,0.7,0.3,0.8,progressive,30,0.7468666666666667,0.5866666666666666,8.466666666666667,3.015261428220696,0.4235569108525911
rho_0.6,rho,abortion,0.7,0.3,0.6,community,30,0.7992356666666667,0.88,9.733333333333333,3.2685947615540303,0.4342207534114519
rho_0.6,rho,climate_change,0.7,0.3,0.6,community,30,0.7634519999999999,0.6233333333333333,7.9,2.7927870134822106,0.35924525931477547
rho_0.6,rho,economy_jobs,0.7,0.3,0.6,community,30,0.7470466666666666,0.5399999999999999,8.866666666666667,2.9989721687730952,0.3536317376295725
rho_0.6,rho,free_speech,0.7,0.3,0.6,community,30,0.7682486666666667,0.7,9.566666666666666,3.2260784698801523,0.3811222402751446
rho_0.6,rho,gun_control,0.7,0.3,0.6,community,30,0.758177,0.56,9.233333333333333,3.1518629281918495,0.4295915019512177
rho_0.6,rho,immigration,0.7,0.3,0.6,community,30,0.7559743333333334,0.8166666666666665,9.833333333333334,3.2819280948873644,0.3953088811039925
rho_0.6,rho,voting_rights_and_voter_fraud,0.7,0.3,0.6,community,30,0.745812,0.5966666666666668,9.633333333333333,3.2485947615540303,0.41384706695874524
